OTU,phylum,kingdom
OTU1,Euryarchaeota,Unassigned
OTU2,Acidobacteria,Unassigned
OTU3,Actinobacteria,Unassigned
OTU4,Armatimonadetes,Unassigned
OTU5,Bacteroidetes,Unassigned
OTU6,Balneolaeota,Unassigned
OTU7,Caldiserica,Unassigned
OTU8,Chlamydiae,Unassigned
OTU9,Chloroflexi,Unassigned
OTU10,Coprothermobacterota,Unassigned
OTU11,Cyanobacteria,Unassigned
OTU12,Deferribacteres,Unassigned
OTU13,Elusimicrobia,Unassigned
OTU14,Fibrobacteres,Unassigned
OTU15,Firmicutes,Unassigned
OTU16,Fusobacteria,Unassigned
OTU17,Gemmatimonadetes,Unassigned
OTU18,Ignavibacteriae,Unassigned
OTU19,Kiritimatiellaeota,Unassigned
OTU20,Lentisphaerae,Unassigned
OTU21,Nitrospirae,Unassigned
OTU22,Planctomycetes,Unassigned
OTU23,Proteobacteria,Unassigned
OTU24,Spirochaetes,Unassigned
OTU25,Synergistetes,Unassigned
OTU26,Tenericutes,Unassigned
OTU27,Verrucomicrobia,Unassigned
OTU28,Ascomycota,Fungi
OTU29,Basidiomycota,Fungi
OTU30,Cryptomycota,Fungi
OTU31,Arthropoda,Metazoa
OTU32,Chordata,Metazoa
OTU33,Gastrotricha,Metazoa
OTU34,Mollusca,Metazoa
OTU35,Nematoda,Metazoa
OTU36,Rotifera,Metazoa
OTU37,Apicomplexa,Unassigned
OTU38,Cercozoa,Unassigned
OTU39,Ciliophora,Unassigned
OTU40,Discosea,Unassigned
OTU41,Endomyxa,Unassigned
OTU42,Euglenozoa,Unassigned
OTU43,Evosea,Unassigned
OTU44,Fornicata,Unassigned
OTU45,Haptista,Unassigned
OTU46,Preaxostyla,Unassigned
OTU47,Rhodophyta,Unassigned
OTU48,Tubulinea,Unassigned
OTU49,Chlorophyta,Viridiplantae
OTU50,Streptophyta,Viridiplantae
OTU51,Crenarchaeota,Archaea
OTU52,Parvarchaeota,Archaea
OTU53,Aquificae,Bacteria
OTU54,Caldithrix,Bacteria
OTU55,Chlorobi,Bacteria
OTU56,Chrysiogenetes,Bacteria
OTU57,Dictyoglomi,Bacteria
OTU58,Thermi,Bacteria
OTU59,Thermotogae,Bacteria
OTU60,Calditrichaeota,Bacteria
OTU61,Annelida,Eukaryota
OTU62,Bacillariophyta,Eukaryota
OTU63,Chytridiomycota,Eukaryota
OTU64,Cnidaria,Eukaryota
OTU65,Euglenida,Eukaryota
OTU66,Microsporidia,Eukaryota
OTU67,Mucoromycota,Eukaryota
OTU68,Phaeophyceae,Eukaryota
OTU69,Platyhelminthes,Eukaryota
OTU70,Porifera,Eukaryota
OTU71,Tardigrada,Eukaryota
OTU72,Zoopagomycota,Eukaryota
