OTU,phylum,ERR3258496,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
OTU1,Euryarchaeota,17,1809,3090121,2821,1324447,2902,14942
OTU2,Acidobacteria,41,170,17,133,39,140,116
OTU3,Actinobacteria,195,590,40,458,17,75,72
OTU4,Armatimonadetes,5,19,1,23,0,17,56
OTU5,Bacteroidetes,4625,833,46,1070,8,2000,6895
OTU6,Calditrichaeota,1,0,0,0,0,0,0
OTU7,Chlamydiae,3,0,0,0,0,0,0
OTU8,Chlorobi,2,1,0,2,0,0,0
OTU9,Chloroflexi,59,51,17,18,0,29,245
OTU10,Cyanobacteria,6,62,1,47,0,34,39
OTU11,Deferribacteres,102,6,0,4,0,2,0
OTU12,Elusimicrobia,38,2,0,1,0,1,1
OTU13,Fibrobacteres,9,1,0,0,0,0,0
OTU14,Firmicutes,1953,168232,9814,104811,12545,29433,17865
OTU15,Fusobacteria,332,0,1,0,1,0,0
OTU16,Gemmatimonadetes,5,89,15,43,13,31,20
OTU17,Ignavibacteriae,7,0,0,0,0,0,0
OTU18,Kiritimatiellaeota,142,0,0,0,0,0,0
OTU19,Lentisphaerae,127,0,0,0,0,0,0
OTU20,Nitrospinae,2,0,0,0,0,0,0
OTU21,Planctomycetes,49,0,0,1,1,0,20
OTU22,Proteobacteria,35282,5437,9310,10889,2409,379,464
OTU23,Spirochaetes,180,2,0,13,0,3,21
OTU24,Synergistetes,794,9352,5685,7609,4834,2161,1510
OTU25,Tenericutes,43,79,13,16,1,3,2
OTU26,Thermotogae,24,1378,572,290,384,140,278
OTU27,Verrucomicrobia,180,1,2,5,2,0,5
OTU28,Caldiserica,0,0,0,6,0,0,0
OTU29,Caldithrix,0,5,0,1,1,2,6
OTU30,Chrysiogenetes,0,1,0,0,0,2,0
OTU31,Dictyoglomi,0,1,0,0,0,0,0
OTU32,Nitrospirae,0,110,27,170,55,123,42
OTU33,Thermi,0,22,1,5,2,8,11
