OTU,ERR3258496,DRR066655,DRR066667,DRR066657,DRR066668,DRR066659,DRR066660
OTU1,1,0,0,0,0,0,0
OTU2,1,0,0,0,0,0,0
OTU3,3,0,0,0,0,0,0
OTU4,1,0,0,0,0,0,0
OTU5,1,0,0,0,0,0,0
OTU6,4,0,0,0,0,0,0
OTU7,4,0,0,0,0,0,0
OTU8,4,0,0,0,0,0,0
OTU9,14,0,0,0,0,0,0
OTU10,1,0,0,0,0,0,0
OTU11,1,0,0,0,0,0,0
OTU12,5,0,0,0,0,0,0
OTU13,23,0,0,0,0,0,0
OTU14,2,0,0,0,0,0,0
OTU15,50,0,0,0,0,0,0
OTU16,9,0,0,0,0,0,0
OTU17,1,0,0,0,0,0,0
OTU18,7,0,0,0,0,0,0
OTU19,14,0,0,0,0,0,0
OTU20,0,1,0,2,1,0,0
OTU21,0,94,12613,94,12108,14,58
OTU22,0,3,4,0,5,0,1
OTU23,0,125,30539,242,22790,150,616
OTU24,0,0,0,0,0,0,0
OTU25,0,0,166,3,119,3,42
OTU26,0,0,21219,2,9921,7,46
OTU27,0,0,17,0,12,0,0
OTU28,0,2,670,26,411,61,376
OTU29,0,0,0,0,1,0,0
OTU30,0,0,0,0,0,0,0
OTU31,0,1,0,0,0,0,0
OTU32,0,3,0,2,0,0,0
OTU33,0,1,0,0,0,0,0
OTU34,0,1,0,0,0,0,0
OTU35,0,4,0,2,0,0,0
OTU36,0,1,0,0,0,1,1
OTU37,0,0,1,0,0,0,0
OTU38,0,0,0,0,0,0,1
OTU39,0,0,0,1,0,0,0
OTU40,0,5,0,7,0,0,0
OTU41,0,0,0,3,0,0,0
OTU42,0,0,9,0,6,0,0
OTU43,0,1,0,1,0,0,0
OTU44,0,11,0,5,0,0,0
OTU45,0,7,0,3,0,4,1
OTU46,0,0,0,0,0,0,0
OTU47,0,0,0,1,0,0,0
OTU48,0,0,4,0,0,0,0
OTU49,0,1,0,2,0,0,0
OTU50,0,1,0,0,0,0,0
OTU51,0,0,0,1,0,0,0
OTU52,0,0,0,2,0,0,0
OTU53,0,0,0,1,0,0,0
OTU54,0,6,0,11,0,0,0
OTU55,0,0,0,2,0,0,0
OTU56,0,1,0,5,0,0,0
OTU57,0,10,0,5,0,0,0
OTU58,0,1,0,0,0,2,0
OTU59,0,1,0,0,0,0,0
OTU60,0,0,0,2,0,1,1
OTU61,0,0,0,1,0,0,0
OTU62,0,31,0,14,0,1,1
OTU63,0,0,0,0,0,0,1
OTU64,0,78,1,11,1,14,0
OTU65,0,1,0,0,0,0,0
OTU66,0,1,0,0,0,0,0
OTU67,0,10,0,0,0,0,0
OTU68,0,11,1,0,0,1,0
OTU69,0,1,0,0,0,0,0
OTU70,0,252,0,14,0,15,2
OTU71,0,0,0,0,0,1,0
OTU72,0,112,0,9,0,7,0
OTU73,0,10,0,0,0,0,0
OTU74,0,52,0,1,0,0,0
OTU75,0,9,0,0,12,1,0
OTU76,0,48,0,5,0,3,0
OTU77,0,37,0,4,0,5,0
OTU78,0,235,0,13,0,10,0
OTU79,0,11,0,0,1,0,0
OTU80,0,24,1,2,1,7,0
OTU81,0,0,0,2,0,0,0
OTU82,0,69,0,5,0,20,0
OTU83,0,3,0,0,0,2,0
OTU84,0,4,0,1,0,0,2
OTU85,0,16,0,5,0,1,0
OTU86,0,1,0,0,0,0,0
OTU87,0,1,0,0,0,0,0
OTU88,0,22,0,2,0,2,0
OTU89,0,271,2,9,1,5,0
OTU90,0,1,0,0,0,0,0
OTU91,0,11,0,0,0,1,0
OTU92,0,32,0,1,0,2,0
OTU93,0,3,0,0,0,0,0
OTU94,0,0,0,2,0,0,0
OTU95,0,147,0,5,1,3,0
OTU96,0,37,0,2,0,7,0
OTU97,0,1,0,0,0,0,0
OTU98,0,0,0,0,0,0,2
OTU99,0,1,0,0,0,0,0
OTU100,0,80,0,5,0,9,0
OTU101,0,1,0,0,0,0,0
OTU102,0,1,0,0,0,0,0
OTU103,0,38,0,0,0,0,0
OTU104,0,0,0,0,1,0,0
OTU105,0,3,0,0,0,0,0
OTU106,0,12,0,0,0,2,0
OTU107,0,0,3,2,1,0,0
OTU108,0,0,0,0,0,0,0
OTU109,0,0,0,1,0,3,1
OTU110,0,59,7,18,0,0,0
OTU111,0,1,0,0,0,0,0
OTU112,0,4,0,0,0,0,0
OTU113,0,0,0,1,0,1,0
OTU114,0,4,0,0,0,0,0
OTU115,0,1,0,0,0,0,0
OTU116,0,1,0,0,0,0,0
OTU117,0,0,0,1,0,0,0
OTU118,0,2,0,0,0,0,0
OTU119,0,0,0,2,0,0,0
OTU120,0,1,0,0,0,0,0
OTU121,0,0,0,1,0,0,0
OTU122,0,0,0,5,0,0,0
OTU123,0,1,0,0,0,0,0
OTU124,0,1,0,0,0,0,0
OTU125,0,4,0,0,0,0,0
OTU126,0,8,0,2,0,0,0
OTU127,0,2,0,5,0,2525,268
OTU128,0,0,0,1,0,0,0
OTU129,0,15,0,18,1,4,2
OTU130,0,1,0,0,0,0,0
OTU131,0,4,0,12,0,0,1
OTU132,0,23,0,24,5,2,0
OTU133,0,452,1,392,9,1,1
OTU134,0,0,0,0,0,0,0
OTU135,0,107,0,169,10,60,10
OTU136,0,0,0,1,0,0,0
OTU137,0,1,0,0,0,0,1
OTU138,0,0,0,1,0,0,0
OTU139,0,15,1,9,0,1,3
OTU140,0,45,2,50,2,2,4
OTU141,0,9,0,7,0,0,0
OTU142,0,13,0,4,0,1,0
OTU143,0,166,3,194,4,13,21
OTU144,0,0,0,2,0,0,1
OTU145,0,93,3,57,4,10,9
OTU146,0,0,0,0,0,0,1
OTU147,0,4,0,0,0,1,3
OTU148,0,2,0,0,0,1,1
OTU149,0,0,0,2,0,0,0
OTU150,0,0,0,1,0,0,0
OTU151,0,8,0,7,3,10,5
OTU152,0,1,2,4,1,0,0
OTU153,0,1,0,0,0,1,0
OTU154,0,18,0,16,2,31,20
OTU155,0,31,0,48,0,21,27
OTU156,0,557,25,393,36,353,76
OTU157,0,0,1,0,1,0,0
OTU158,0,32,0,5,0,0,0
OTU159,0,2,0,0,0,0,0
OTU160,0,0,0,1,1,0,0
OTU161,0,10,4,11,0,0,4
OTU162,0,3,0,11,0,0,0
OTU163,0,15,0,43,0,0,0
OTU164,0,1,0,1,0,0,0
OTU165,0,0,0,1,0,0,0
OTU166,0,0,1,0,0,0,0
OTU167,0,0,0,1,0,0,0
OTU168,0,0,0,1,0,0,0
OTU169,0,0,0,1,0,0,0
OTU170,0,8,0,20,0,0,1
OTU171,0,21,0,31,0,0,0
OTU172,0,1,0,2,0,0,0
OTU173,0,20,0,21,0,0,0
OTU174,0,0,0,1,0,0,0
OTU175,0,0,0,5,0,0,0
OTU176,0,0,0,2,0,0,0
OTU177,0,0,0,7,0,0,0
OTU178,0,0,0,4,0,0,0
OTU179,0,29,0,28,0,0,1
OTU180,0,1,0,2,0,0,0
OTU181,0,1,0,1,0,0,0
OTU182,0,1,0,0,0,0,0
OTU183,0,0,0,1,0,0,0
OTU184,0,1,0,8,0,0,1
OTU185,0,0,0,2,0,0,0
OTU186,0,0,0,4,0,0,0
OTU187,0,2,0,5,0,0,0
OTU188,0,0,0,1,0,0,0
OTU189,0,0,0,1,0,0,0
OTU190,0,2,0,24,0,0,0
OTU191,0,1,0,0,0,1,0
OTU192,0,0,0,0,0,0,0
OTU193,0,0,0,13,0,0,0
OTU194,0,1,0,0,0,0,0
OTU195,0,0,0,1,0,0,0
OTU196,0,0,1,0,0,0,0
OTU197,0,0,0,1,0,0,0
OTU198,0,0,7,0,7,0,0
OTU199,0,0,2,0,0,0,0
OTU200,0,0,1,0,0,0,0
OTU201,0,0,1,0,1,0,0
OTU202,0,0,2,0,0,0,0
OTU203,0,0,2,0,0,0,0
OTU204,0,0,2,0,0,0,0
OTU205,0,0,2,0,0,0,0
OTU206,0,0,1,0,0,0,0
OTU207,0,0,6,0,0,0,0
OTU208,0,0,0,0,1,0,0
OTU209,0,0,1,0,0,0,0
OTU210,0,0,1,0,0,0,0
OTU211,0,0,1,0,0,0,0
OTU212,0,0,1,0,0,0,0
OTU213,0,0,3,0,0,0,0
OTU214,0,0,1,0,0,0,0
OTU215,0,0,1,0,0,0,0
OTU216,0,0,2,0,0,0,0
OTU217,0,0,7,0,3,0,0
OTU218,0,0,9,0,2,0,0
OTU219,0,0,2,0,1,0,0
OTU220,0,0,2,0,0,0,0
OTU221,0,0,3,0,0,0,0
OTU222,0,0,0,0,1,0,0
OTU223,0,0,5,0,1,0,0
OTU224,0,0,1,0,0,0,0
OTU225,0,0,6,0,1,0,0
OTU226,0,0,2,0,2,0,0
OTU227,0,0,4,0,0,0,0
OTU228,0,0,2,0,0,0,0
OTU229,0,0,5,0,2,0,0
OTU230,0,0,0,0,1,0,0
OTU231,0,0,3,0,1,0,0
OTU232,0,0,1,0,0,0,0
OTU233,0,0,0,0,1,0,0
OTU234,0,2,0,6,0,0,0
OTU235,0,29,0,104,0,0,0
OTU236,0,332,0,830,1,0,0
OTU237,0,84,1,263,0,0,0
OTU238,0,182,0,467,0,0,0
OTU239,0,0,0,0,1,0,1
OTU240,0,4,0,5,0,0,0
OTU241,0,160,0,34,0,0,0
OTU242,0,0,0,1,0,0,0
OTU243,0,3,0,1,0,0,0
OTU244,0,1,0,0,0,0,0
OTU245,0,1,0,0,0,0,0
OTU246,0,0,1,0,0,0,0
OTU247,0,1,0,0,0,0,0
OTU248,0,5,0,9,0,0,0
OTU249,0,0,1,0,0,0,0
OTU250,0,0,1,0,0,0,0
OTU251,0,1,0,2,0,0,0
OTU252,0,7,0,16,0,0,0
OTU253,0,0,0,5,0,0,0
OTU254,0,0,0,1,0,0,0
OTU255,0,1,0,0,0,0,0
OTU256,0,0,1,0,3,0,0
OTU257,0,1,0,0,1,1,0
